data_celltemp,data_cellpres,data_co2,data_co2abs,data_h2o,data_h2oabs,data_h2odewpoint,data_ivolt,data_raw_co2_co2ref,data_raw_co2_h2o_h2oref,data_raw_co2_h2o,data_datetimer,data
"4.96215e1","1.00261e2","4.72986e2","9.6468687e-2","2.20543e1","1.2364363e-1","1.90436e1","1.2058105e1","3807178","1936368","","2016-09-30T15:00:02.674565",""
"4.96215e1","1.00283e2","4.72779e2","9.6459865e-2","2.20482e1","1.2364542e-1","1.90427e1","1.2064819e1","3807159","1936169","","2016-09-30T15:00:08.664498",""
"5.10998e1","1.00283e2","4.71309e2","9.5941181e-2","2.22464e1","1.2400722e-1","1.91863e1","1.2219238e1","3799110","1927378","","2016-09-30T15:00:26.687870",""
"5.11266e1","1.00305e2","4.71173e2","9.5936775e-2","2.22430e1","1.2401235e-1","1.91873e1","1.2232666e1","3799195","1927209","","2016-09-30T15:00:32.677531",""
"5.11523e1","1.00305e2","4.71164e2","9.5930213e-2","2.22465e1","1.2401878e-1","1.91899e1","1.2239379e1","3798861","1927192","","2016-09-30T15:00:38.669624",""
"5.11523e1","1.00283e2","4.71265e2","9.5923900e-2","2.22548e1","1.2402486e-1","1.91923e1","1.2252807e1","3798679","1927084","","2016-09-30T15:00:44.659837",""
"5.11781e1","1.00283e2","4.71251e2","9.5916624e-2","2.22577e1","1.2402915e-1","1.91944e1","1.2252807e1","3798773","1926898","","2016-09-30T15:00:50.668800",""
"5.11781e1","1.00283e2","4.71202e2","9.5909595e-2","2.22596e1","1.2403619e-1","1.91958e1","1.2252807e1","3798722","1926863","","2016-09-30T15:00:56.658018",""
"5.12039e1","1.00283e2","4.71218e2","9.5906496e-2","2.22625e1","1.2404048e-1","1.91979e1","1.2212524e1","3798786","1926771","","2016-09-30T15:01:02.661999",""
"5.12039e1","1.00283e2","4.71174e2","9.5900173e-2","2.22642e1","1.2404668e-1","1.91991e1","1.2199096e1","3796936","1926272","","2016-09-30T15:01:08.648560",""
"5.12039e1","1.00261e2","4.71259e2","9.5891714e-2","2.22723e1","1.2405216e-1","1.92014e1","1.2219238e1","3798585","1926526","","2016-09-30T15:01:14.636040",""
"5.14641e1","1.00283e2","4.56844e2","9.3783016e-2","2.31390e1","1.2720096e-1","1.98191e1","1.2601928e1","3802480","1928847","","2016-09-30T15:01:32.623478",""
"5.14641e1","1.00283e2","4.56974e2","9.3801975e-2","2.31376e1","1.2719595e-1","1.98182e1","1.2615356e1","3802309","1928837","","2016-09-30T15:02:18.654342",""
"5.14641e1","1.00283e2","4.57097e2","9.3819856e-2","2.31363e1","1.2719094e-1","1.98172e1","1.2635498e1","3802251","1928795","","2016-09-30T15:02:24.650046",""
"5.14641e1","1.00283e2","4.57236e2","9.3840122e-2","2.31354e1","1.2718772e-1","1.98166e1","1.2635498e1","3802186","1928695","","2016-09-30T15:02:30.641277",""
"5.14641e1","1.00283e2","4.57388e2","9.3862171e-2","2.31338e1","1.2718200e-1","1.98155e1","1.2628784e1","3802138","1928691","","2016-09-30T15:02:36.636355",""
"5.14641e1","1.00283e2","4.57491e2","9.3877191e-2","2.31314e1","1.2717330e-1","1.98138e1","1.2635498e1","3801507","1928451","","2016-09-30T15:02:42.627204",""
"5.14641e1","1.00283e2","4.57633e2","9.3897933e-2","2.31297e1","1.2716698e-1","1.98126e1","1.2628784e1","3801740","1928497","","2016-09-30T15:02:48.635141",""
"5.14641e1","1.00305e2","4.57628e2","9.3917608e-2","2.31206e1","1.2715911e-1","1.98099e1","1.2622070e1","3801669","1928300","","2016-09-30T15:02:54.631616",""
"5.14641e1","1.00261e2","4.58037e2","9.3936319e-2","2.31327e1","1.2715268e-1","1.98112e1","1.2595214e1","3801615","1928251","","2016-09-30T15:03:00.634706",""
"5.14112e1","1.00269e2","4.66769e2","9.5222826e-2","2.33259e1","1.2787985e-1","1.99467e1","1.2608642e1","3797627","1925408","","2016-09-30T15:03:18.634465",""
"5.14112e1","1.00269e2","4.66760e2","9.5221519e-2","2.33285e1","1.2788939e-1","1.99485e1","1.2615356e1","3797563","1925370","","2016-09-30T15:03:24.649362",""
"5.14112e1","1.00269e2","4.66751e2","9.5220327e-2","2.33307e1","1.2789714e-1","1.99500e1","1.2615356e1","3797316","1925409","","2016-09-30T15:03:30.645872",""
"5.14112e1","1.00269e2","4.66740e2","9.5218658e-2","2.33330e1","1.2790548e-1","1.99516e1","1.2608642e1","3797493","1925434","","2016-09-30T15:03:36.647359",""
"5.14112e1","1.00269e2","4.66707e2","9.5214004e-2","2.33350e1","1.2791299e-1","1.99530e1","1.2608642e1","3797414","1925284","","2016-09-30T15:03:42.652532",""
"5.14112e1","1.00247e2","4.66864e2","9.5216035e-2","2.33444e1","1.2792170e-1","1.99559e1","1.2581787e1","3797890","1925485","","2016-09-30T15:03:48.646447",""
"5.14112e1","1.00247e2","4.66824e2","9.5210189e-2","2.33466e1","1.2792980e-1","1.99575e1","1.2575073e1","3797317","1925461","","2016-09-30T15:04:34.664536",""
"5.14112e1","1.00247e2","4.66811e2","9.5208406e-2","2.33495e1","1.2794041e-1","1.99595e1","1.2554931e1","3796111","1925128","","2016-09-30T15:04:40.670752",""
"5.14112e1","1.00269e2","4.66651e2","9.5206022e-2","2.33450e1","1.2794935e-1","1.99599e1","1.2575073e1","3797888","1925583","","2016-09-30T15:04:46.668139",""
"5.14112e1","1.00247e2","4.66790e2","9.5205421e-2","2.33545e1","1.2795841e-1","1.99629e1","1.2581787e1","3797733","1925564","","2016-09-30T15:04:52.669062",""
"5.14112e1","1.00269e2","4.67132e2","9.5279455e-2","2.36872e1","1.2918889e-1","2.01950e1","1.2615356e1","3798015","1925748","","2016-09-30T15:05:04.679850",""
"5.14112e1","1.00269e2","4.67151e2","9.5282192e-2","2.36887e1","1.2919437e-1","2.01961e1","1.2622070e1","3797995","1925863","","2016-09-30T15:05:10.668959",""
"5.14112e1","1.00269e2","4.67138e2","9.5280408e-2","2.36906e1","1.2920117e-1","2.01974e1","1.2581787e1","3798027","1925885","","2016-09-30T15:05:16.662005",""
"5.14112e1","1.00247e2","4.67286e2","9.5281000e-2","2.36986e1","1.2920451e-1","2.01993e1","1.2588500e1","3798127","1925750","","2016-09-30T15:05:22.661494",""
"5.14112e1","1.00269e2","4.67136e2","9.5280170e-2","2.36931e1","1.2921035e-1","2.01991e1","1.2588500e1","3798193","1925780","","2016-09-30T15:05:28.662141",""
