datetime,shunt_input_A_voltage,shunt_input_A_current,shunt_input_A_frequency,shunt_input_B_voltage,shunt_input_B_current,shunt_input_B_frequency,shunt_input_C_voltage,shunt_input_C_current,shunt_input_C_frequency,AC_output_A_voltage,AC_output_A_current,AC_output_A_frequency,AC_output_B_voltage,AC_output_B_current,AC_output_B_frequency,AC_output_C_voltage,AC_output_C_current,AC_output_C_frequency,DC_voltage,DC_current,cabinet_temperature,shutdown_delay,DC_undervoltage_threshold,DC_overvoltage_threshold,DC_start_voltage,shunt_undervoltage_threshold,shunt_overvoltage_threshold,shunt_start_voltage,datetime,machine_type,with_shunt,three_phase,transformer_type,LCD_type,display_language,inverter_communication_role,device_on,shunt_mode,abnormal_state,DC_undervoltage,DC_overvoltage,overload,short,bad_DC_setting
2015-02-27 12:10:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,221,0.1,50.0,0,0.0,0.0,0,0.0,0.0,55,1.2,47.2,29566,43,70,49,160,242,182,2015-02-27 03:41:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:11:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,219,0.0,50.0,0,0.0,0.0,0,0.0,0.0,55,1.1,47.2,29566,43,70,49,160,242,182,2015-02-27 03:42:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:12:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,219,0.0,50.0,0,0.0,0.0,0,0.0,0.0,55,1.1,47.2,29566,43,70,49,160,242,182,2015-02-27 03:43:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:13:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,220,0.0,50.0,0,0.0,0.0,0,0.0,0.0,55,1.1,47.2,29566,43,70,49,160,242,182,2015-02-27 03:44:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:14:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,221,0.1,50.0,0,0.0,0.0,0,0.0,0.0,55,1.1,47.2,29566,43,70,49,160,242,182,2015-02-27 03:45:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:15:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,221,0.1,50.0,0,0.0,0.0,0,0.0,0.0,55,1.2,47.2,29566,43,70,49,160,242,182,2015-02-27 03:46:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:16:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,220,0.0,50.0,0,0.0,0.0,0,0.0,0.0,55,1.2,47.2,29566,43,70,49,160,242,182,2015-02-27 03:47:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:17:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,221,0.1,50.0,0,0.0,0.0,0,0.0,0.0,55,1.2,47.2,29566,43,70,49,160,242,182,2015-02-27 03:48:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:18:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,221,0.1,50.0,0,0.0,0.0,0,0.0,0.0,55,1.2,47.2,29566,43,70,49,160,242,182,2015-02-27 03:49:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:19:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,221,0.1,50.0,0,0.0,0.0,0,0.0,0.0,55,1.2,47.2,29566,43,70,49,160,242,182,2015-02-27 03:50:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
2015-02-27 12:20:16,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,220,0.0,50.0,0,0.0,0.0,0,0.0,0.0,55,1.1,47.2,29566,43,70,49,160,242,182,2015-02-27 03:51:11,AC inverter,True,False,normal,1,English,terminus,False,True,False,False,False,False,False,False
